engine,requestedBodies,tMs,bodies,awakeBodies,renderFps,simFps,simCapacityFps,physicsStepMs,physicsCapacityFps,renderSyncMs,syncMs,renderMs,snapshotCopyMs,snapshotBytes,threadsEnabled,stepCount
"box3d",64,256,69,0,120.68468444230209,62.76478896396349,4604.316673122836,0.21718749403953552,4604.316673122836,0.009999990463256836,0.009999990463256836,0.24000000953674316,0.009999990463256836,3864,true,44
"box3d",64,509,69,0,120.68953956400442,62.76478896396349,4604.316673122836,0.21718749403953552,4604.316673122836,0.009999990463256836,0.009999990463256836,0.7350000143051147,0.009999990463256836,3864,true,44
"box3d",64,762,69,0,119.99440026666124,61.77206109103944,9825.675108197089,0.10177417724363265,9825.675108197089,0.009999990463256836,0.014999985694885254,0.2549999952316284,0.019999980926513672,3864,true,75
"box3d",64,1015,69,0,119.81468662335486,61.77206109103944,9825.675108197089,0.10177417724363265,9825.675108197089,0.009999990463256836,0.014999985694885254,0.2250000238418579,0.019999980926513672,3864,true,75
"box3d",64,1266,69,0,119.84978825624172,62.736487142371324,35955.06157361643,0.027812495827674866,35955.06157361643,0.009999990463256836,0.010000109672546387,0.24500000476837158,0.009999990463256836,3864,true,106
"box3d",64,1519,69,0,120.16502663199063,62.736487142371324,35955.06157361643,0.027812495827674866,35955.06157361643,0.009999990463256836,0.010000109672546387,0.3999999761581421,0.009999990463256836,3864,true,106
"box3d",64,1771,69,0,120.14978674407156,62.64928149456206,8864.266478282956,0.11281249299645424,8864.266478282956,0.014999985694885254,0.010000109672546387,0.5850000381469727,0.03000009059906006,3864,true,138
"box3d",64,2024,69,0,120.3144216948153,62.64928149456206,8864.266478282956,0.11281249299645424,8864.266478282956,0.014999985694885254,0.010000109672546387,0.6499999761581421,0.03000009059906006,3864,true,138
"box3d",64,2281,69,0,119.88251513288321,62.90977362782935,28699.54518726011,0.03484375774860382,28699.54518726011,0.019999980926513672,0.004999995231628418,0.24000000953674316,0.014999985694885254,3864,true,169
"box3d",64,2533,69,0,119.99280043883968,62.90977362782935,28699.54518726011,0.03484375774860382,28699.54518726011,0.019999980926513672,0.004999995231628418,0.2049999237060547,0.014999985694885254,3864,true,169
"box3d",1024,256,1029,0,119.82266245727774,63.98784230630039,1288.5041252606188,0.7760937511920929,1288.5041252606188,0.04500007629394531,0.18000006675720215,0.23500001430511475,0.0549999475479126,57624,true,45
"box3d",1024,508,1029,0,120.12813669059291,63.98784230630039,1288.5041252606188,0.7760937511920929,1288.5041252606188,0.04500007629394531,0.18000006675720215,0.6000000238418579,0.0549999475479126,57624,true,45
"box3d",1024,765,1029,0,119.8450004805223,62.19630709426628,3347.2803547628578,0.29874999821186066,3347.2803547628578,0.10000002384185791,0.040000081062316895,0.23500001430511475,0.059999942779541016,57624,true,76
"box3d",1024,1018,1029,0,119.94242763244871,62.19630709426628,3347.2803547628578,0.29874999821186066,3347.2803547628578,0.10000002384185791,0.040000081062316895,0.25,0.059999942779541016,57624,true,76
"box3d",1024,1271,1029,0,120.13695613304691,62.55987175342929,27118.653492217145,0.03687498718500137,27118.653492217145,0.21500003337860107,0.034999966621398926,0.5349999666213989,0.04499995708465576,57624,true,107
